epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7581.57,1.4163,1.10341,1.01601,0.53758,0.43146,0.42982,0.25752,1.32925,1.01792,1.00493,0.004126,0.004126,0.004126
91,7665.86,1.40853,1.09424,1.01348,0.54017,0.43047,0.42906,0.25643,1.32804,1.01657,1.00425,0.00406,0.00406,0.00406
92,7749.7,1.41118,1.09297,1.01046,0.5484,0.42864,0.43064,0.25742,1.32888,1.01458,1.00468,0.003994,0.003994,0.003994
93,7833.3,1.40592,1.09057,1.01158,0.53666,0.43447,0.43206,0.25821,1.32801,1.01488,1.00444,0.003928,0.003928,0.003928
94,7917.39,1.40878,1.08803,1.01172,0.53118,0.43387,0.43108,0.25832,1.32711,1.01293,1.00384,0.003862,0.003862,0.003862
95,8001.67,1.40484,1.08574,1.01128,0.52752,0.43454,0.43141,0.25831,1.32647,1.01191,1.0033,0.003796,0.003796,0.003796
96,8086.31,1.40632,1.08777,1.01131,0.53497,0.43495,0.43277,0.25979,1.32625,1.01012,1.00316,0.00373,0.00373,0.00373
97,8170.64,1.39945,1.08641,1.01087,0.54214,0.43714,0.4338,0.26004,1.32651,1.00861,1.00275,0.003664,0.003664,0.003664
98,8254.89,1.40568,1.08172,1.00765,0.52986,0.44386,0.43445,0.26012,1.32572,1.0089,1.00249,0.003598,0.003598,0.003598
99,8339.35,1.39956,1.08195,1.00926,0.53729,0.44006,0.43406,0.26031,1.32597,1.00706,1.00223,0.003532,0.003532,0.003532
100,8423.59,1.39326,1.06904,1.00452,0.54396,0.43736,0.43522,0.26046,1.32414,1.00605,1.00151,0.003466,0.003466,0.003466
101,8508.15,1.3941,1.07235,1.00686,0.53591,0.44048,0.43621,0.26052,1.32351,1.00505,1.00119,0.0034,0.0034,0.0034
102,8592.09,1.39847,1.07504,1.00664,0.54702,0.43661,0.43646,0.26118,1.32323,1.00421,1.00046,0.003334,0.003334,0.003334
103,8676.15,1.38625,1.06819,1.00511,0.54079,0.44392,0.43759,0.26178,1.32221,1.00208,1.00035,0.003268,0.003268,0.003268
104,8760.46,1.39799,1.07739,1.00979,0.54014,0.44205,0.43799,0.26254,1.32134,1.00123,0.9997,0.003202,0.003202,0.003202
105,8844.38,1.38717,1.06523,1.00449,0.54018,0.44231,0.43807,0.26235,1.3218,1.00013,0.99998,0.003136,0.003136,0.003136
106,8928.35,1.3947,1.07264,1.00841,0.54234,0.44133,0.43814,0.26215,1.32098,0.99925,1.00046,0.00307,0.00307,0.00307
107,9012.65,1.38987,1.05882,1.00382,0.54568,0.44037,0.43702,0.26194,1.32065,0.99924,0.99972,0.003004,0.003004,0.003004
108,9096.59,1.39089,1.06038,1.00486,0.54707,0.44121,0.43715,0.26223,1.31899,0.99843,0.99909,0.002938,0.002938,0.002938
109,9181.03,1.39084,1.06104,1.00653,0.54417,0.44193,0.43833,0.26305,1.31883,0.99711,0.99927,0.002872,0.002872,0.002872
110,9265.17,1.38441,1.05548,1.00155,0.54714,0.43998,0.43863,0.263,1.3187,0.99744,0.99931,0.002806,0.002806,0.002806
111,9349.42,1.38244,1.05895,1.00198,0.54909,0.44191,0.43978,0.26351,1.31809,0.99738,0.99884,0.00274,0.00274,0.00274
112,9433.14,1.3783,1.05581,1.00312,0.54716,0.44482,0.44013,0.26387,1.31872,0.99812,0.99888,0.002674,0.002674,0.002674
113,9517.46,1.37998,1.04419,0.99842,0.55126,0.44495,0.44176,0.26493,1.3188,0.99583,0.99885,0.002608,0.002608,0.002608
114,9601.77,1.3814,1.05259,1.00148,0.54511,0.44809,0.44246,0.26513,1.31891,0.99472,0.99875,0.002542,0.002542,0.002542
115,9686.46,1.37055,1.04119,0.99547,0.54752,0.44343,0.44094,0.2647,1.31779,0.99422,0.99847,0.002476,0.002476,0.002476
116,9771.51,1.37947,1.05003,0.99901,0.5524,0.44234,0.44149,0.26522,1.31713,0.9935,0.99805,0.00241,0.00241,0.00241
117,9857,1.37298,1.04411,0.9997,0.55343,0.4418,0.44266,0.26578,1.31732,0.99229,0.99773,0.002344,0.002344,0.002344
118,9942.63,1.374,1.03684,0.998,0.55203,0.44151,0.44387,0.2666,1.31697,0.99195,0.9976,0.002278,0.002278,0.002278
119,10028.2,1.37325,1.04319,0.99757,0.54446,0.44455,0.44375,0.26689,1.31682,0.9909,0.99748,0.002212,0.002212,0.002212
