epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,10161.5,1.3681,0.79177,0.9982,0.79899,0.63945,0.72631,0.43308,1.31292,0.75125,0.99907,0.001948,0.001948,0.001948
124,10245,1.35502,0.78722,0.99427,0.7977,0.64023,0.72658,0.43325,1.31311,0.75092,0.99889,0.001882,0.001882,0.001882
125,10327.6,1.36167,0.78919,0.99408,0.80001,0.6394,0.72687,0.43322,1.31288,0.75095,0.9988,0.001816,0.001816,0.001816
126,10410.4,1.35856,0.78817,0.99785,0.79927,0.64054,0.72733,0.43346,1.31288,0.75062,0.99888,0.00175,0.00175,0.00175
127,10493.1,1.35338,0.78433,0.99268,0.80124,0.63883,0.72717,0.43354,1.31272,0.74985,0.99872,0.001684,0.001684,0.001684
128,10576,1.35313,0.77892,0.99144,0.79932,0.64064,0.72744,0.43389,1.31192,0.74911,0.99845,0.001618,0.001618,0.001618
129,10659,1.35034,0.77946,0.99305,0.79865,0.64095,0.72752,0.43407,1.31096,0.74857,0.99819,0.001552,0.001552,0.001552
130,10741.8,1.35253,0.77725,0.99291,0.7991,0.64121,0.72773,0.43399,1.31084,0.74802,0.99793,0.001486,0.001486,0.001486
131,10825.2,1.35629,0.77991,0.98953,0.79866,0.64142,0.72799,0.43401,1.31064,0.74786,0.99791,0.00142,0.00142,0.00142
132,10907.3,1.35155,0.77462,0.98978,0.79859,0.64255,0.72809,0.43402,1.31033,0.74732,0.99792,0.001354,0.001354,0.001354
133,10989.8,1.34819,0.77446,0.98998,0.79895,0.64286,0.7286,0.43429,1.30996,0.7466,0.99793,0.001288,0.001288,0.001288
134,11072,1.34716,0.77287,0.98763,0.79976,0.6426,0.72873,0.43443,1.30996,0.74613,0.99797,0.001222,0.001222,0.001222
135,11153.3,1.34555,0.7724,0.99037,0.79966,0.64358,0.72889,0.43457,1.30964,0.7457,0.99776,0.001156,0.001156,0.001156
136,11236.2,1.34282,0.76852,0.98797,0.80111,0.64255,0.72909,0.43458,1.30967,0.7456,0.99748,0.00109,0.00109,0.00109
137,11318.2,1.33789,0.76582,0.98952,0.80334,0.64177,0.72954,0.43487,1.30945,0.74542,0.99723,0.001024,0.001024,0.001024
138,11400,1.34244,0.76666,0.98796,0.80438,0.64187,0.72978,0.43515,1.30901,0.74479,0.99702,0.000958,0.000958,0.000958
