epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,80.4749,1.25084,0.60457,0.96468,0.92946,0.83546,0.87952,0.546,1.31739,0.71374,1.01883,0.0006008,0.0006008,0.0006008
108,81.1538,1.19764,0.79807,1.08966,0.9315,0.83514,0.88397,0.54153,1.33645,0.71003,1.02316,0.0005876,0.0005876,0.0005876
109,81.7991,1.35651,0.74058,1.06493,0.9315,0.83514,0.88397,0.54153,1.33645,0.71003,1.02316,0.0005744,0.0005744,0.0005744
110,82.4104,1.26221,0.68909,0.96889,0.94406,0.83514,0.8915,0.54109,1.3574,0.7117,1.03072,0.0005612,0.0005612,0.0005612
111,83.0306,1.29416,0.63413,0.95652,0.94406,0.83514,0.8915,0.54109,1.3574,0.7117,1.03072,0.000548,0.000548,0.000548
112,83.6689,1.29627,0.6854,0.9421,0.95321,0.83333,0.89703,0.53615,1.38304,0.70709,1.0399,0.0005348,0.0005348,0.0005348
113,84.4629,1.1627,0.65317,0.95526,0.95321,0.83333,0.89703,0.53615,1.38304,0.70709,1.0399,0.0005216,0.0005216,0.0005216
114,85.0488,1.15691,0.65438,1.02271,0.9525,0.8355,0.89772,0.53165,1.41167,0.70473,1.05099,0.0005084,0.0005084,0.0005084
115,85.6441,1.21209,0.68812,1.03205,0.9525,0.8355,0.89772,0.53165,1.41167,0.70473,1.05099,0.0004952,0.0004952,0.0004952
116,86.2597,1.32327,0.69535,1.00464,0.95569,0.83514,0.89978,0.52786,1.43754,0.70047,1.06279,0.000482,0.000482,0.000482
117,86.8479,1.11606,0.65615,0.96974,0.95569,0.83514,0.89978,0.52786,1.43754,0.70047,1.06279,0.0004688,0.0004688,0.0004688
118,87.4415,1.1988,0.72132,1.00756,0.95111,0.8458,0.90164,0.52264,1.45784,0.6987,1.07117,0.0004556,0.0004556,0.0004556
119,88.0702,1.24103,0.63359,0.97079,0.95111,0.8458,0.90164,0.52264,1.45784,0.6987,1.07117,0.0004424,0.0004424,0.0004424
120,88.6928,1.30295,0.66881,0.97159,0.96469,0.84601,0.90295,0.52625,1.46428,0.69461,1.07329,0.0004292,0.0004292,0.0004292
121,89.2824,1.22045,0.69184,0.96894,0.96469,0.84601,0.90295,0.52625,1.46428,0.69461,1.07329,0.000416,0.000416,0.000416
122,89.9111,1.30755,0.66668,0.95936,0.97338,0.84783,0.90513,0.52748,1.47266,0.68872,1.07611,0.0004028,0.0004028,0.0004028
